id_anssi,titre,description,date_publication,lien,type_bulletin,liste_cves
CERTFR-2026-AVI-0699,Vulnérabilité dans Cisco Catalyst SD-WAN (05 juin 2026),Une vulnérabilité a été découverte dans Cisco Catalyst SD-WAN. Elle permet à un attaquant de provoquer une élévation de privilèges. Cisco indique que la vulnérabilité CVE-2026-20245 est activement exploitée.,"Fri, 05 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0699/,Avis,['CVE-2026-20245']
CERTFR-2026-AVI-0715,Multiples vulnérabilités dans les produits SAP (09 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits SAP. Certaines d'entre elles permettent à un attaquant de provoquer une injection SQL (SQLi), une injection de code indirecte à distance (XSS) et un contournement de la politique de sécurité.","Tue, 09 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0715/,Avis,"['CVE-2026-29145', 'CVE-2026-44751', 'CVE-2026-44757', 'CVE-2026-44746', 'CVE-2026-44744', 'CVE-2026-40128', 'CVE-2026-27671', 'CVE-2026-44748', 'CVE-2025-68161', 'CVE-2026-44755', 'CVE-2026-44750', 'CVE-2026-22732', 'CVE-2026-44754', 'CVE-2026-44743', 'CVE-2026-24315']"
CERTFR-2026-AVI-0717,Multiples vulnérabilités dans OpenSSL (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans OpenSSL. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, un déni de service à distance et une atteinte à la confidentialité des données.","Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0717/,Avis,"['CVE-2026-34181', 'CVE-2026-42766', 'CVE-2026-34180', 'CVE-2026-9076', 'CVE-2026-42764', 'CVE-2026-45445', 'CVE-2026-42769', 'CVE-2026-45446', 'CVE-2026-35188', 'CVE-2026-7383', 'CVE-2026-42771', 'CVE-2026-42768', 'CVE-2026-34183', 'CVE-2026-34182', 'CVE-2026-42770', 'CVE-2026-45447', 'CVE-2026-42765', 'CVE-2026-42767']"
CERTFR-2026-AVI-0718,Vulnérabilité dans PostgreSQL (10 juin 2026),Une vulnérabilité a été découverte dans PostgreSQL. Elle permet à un attaquant de provoquer une élévation de privilèges.,"Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0718/,Avis,['CVE-2026-9617']
CERTFR-2026-AVI-0719,Multiples vulnérabilités dans les produits Spring (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Spring. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, un contournement de la politique de sécurité et un déni de service.","Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0719/,Avis,"['CVE-2026-41697', 'CVE-2026-41003', 'CVE-2026-41719', 'CVE-2026-41729', 'CVE-2026-41696', 'CVE-2026-41695', 'CVE-2026-40988', 'CVE-2026-41721', 'CVE-2026-40993', 'CVE-2026-41716', 'CVE-2026-41008', 'CVE-2026-41694', 'CVE-2026-41711', 'CVE-2026-41717', 'CVE-2026-41701']"
CERTFR-2026-AVI-0720,Multiples vulnérabilités dans les produits Adobe (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Adobe. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.","Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0720/,Avis,"['CVE-2026-47915', 'CVE-2026-47919', 'CVE-2026-47926', 'CVE-2026-47911', 'CVE-2026-47932', 'CVE-2026-47933', 'CVE-2026-47912', 'CVE-2026-47959', 'CVE-2026-47928', 'CVE-2026-47924', 'CVE-2026-47923', 'CVE-2026-47916', 'CVE-2026-47960', 'CVE-2026-47913', 'CVE-2026-47925', 'CVE-2026-47931', 'CVE-2026-47921', 'CVE-2026-47930', 'CVE-2026-47914', 'CVE-2026-47920', 'CVE-2026-47929', 'CVE-2026-47917', 'CVE-2026-47918', 'CVE-2026-47961', 'CVE-2026-47952', 'CVE-2026-47955', 'CVE-2026-47937']"
CERTFR-2026-AVI-0721,Multiples vulnérabilités dans Xen (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans Xen. Elles permettent à un attaquant de provoquer une élévation de privilèges, un déni de service à distance et une atteinte à la confidentialité des données.","Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0721/,Avis,"['CVE-2025-10263', 'CVE-2026-42488', 'CVE-2026-42490', 'CVE-2026-42487', 'CVE-2026-42489']"
CERTFR-2026-AVI-0722,Multiples vulnérabilités dans Typo3 (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans Typo3. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.","Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0722/,Avis,"['CVE-2026-49741', 'CVE-2026-47351', 'CVE-2026-47349', 'CVE-2026-47350', 'CVE-2026-49740', 'CVE-2026-47348', 'CVE-2026-49738', 'CVE-2026-49742', 'CVE-2026-11607', 'CVE-2026-47352']"
CERTFR-2026-AVI-0723,Vulnérabilité dans Stormshield Network Security (10 juin 2026),Une vulnérabilité a été découverte dans Stormshield Network Security. Elle permet à un attaquant de provoquer une atteinte à la confidentialité des données.,"Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0723/,Avis,['CVE-2026-31790']
CERTFR-2026-AVI-0724,Multiples vulnérabilités dans les produits Ivanti (10 juin 2026),De multiples vulnérabilités ont été découvertes dans les produits Ivanti. Elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance et un contournement de la politique de sécurité.,"Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0724/,Avis,"['CVE-2026-10727', 'CVE-2026-6973', 'CVE-2026-10523', 'CVE-2026-10520']"
